year,codest,codmun,enrolled,daycare_pop,ratio
2004,13,130423,0,2507,0.0
2008,13,130423,0,2299,0.0
2012,13,130423,283,2098,0.13489037178265015
2000,13,130426,0,1398,0.0
2004,13,130426,0,1666,0.0
2008,13,130426,88,1189,0.07401177460050462
2012,13,130426,160,1457,0.10981468771448182
2000,13,130430,0,2140,0.0
2004,13,130430,0,2473,0.0
2008,13,130430,0,1616,0.0
2012,13,130430,98,1646,0.05953827460510328
2000,13,130440,162,1466,0.11050477489768076
2004,13,130440,106,1205,0.08796680497925312
2008,13,130440,91,1787,0.050923335198656966
2012,13,130440,60,1819,0.032985156679494226
2000,14,140002,28,709,0.039492242595204514
2004,14,140002,21,778,0.02699228791773779
2008,14,140002,38,1198,0.03171953255425709
2012,14,140002,89,1287,0.06915306915306915
2000,14,140005,35,1610,0.021739130434782608
2004,14,140005,66,1854,0.03559870550161812
2008,14,140005,86,1680,0.05119047619047619
2012,14,140005,86,1960,0.04387755102040816
2000,14,140010,1473,21139,0.06968163110837788
2004,14,140010,969,23976,0.040415415415415414
2008,14,140010,1227,25253,0.04858828654021304
2012,14,140010,2198,22641,0.09708051764498035
2000,14,140015,98,1270,0.07716535433070866
2004,14,140015,0,1561,0.0
2008,14,140015,0,1430,0.0
2012,14,140015,0,1292,0.0
2000,14,140017,25,1051,0.023786869647954328
2004,14,140017,92,1203,0.07647547797173733
2008,14,140017,114,1397,0.0816034359341446
2012,14,140017,109,1342,0.08122205663189269
2000,14,140020,189,1773,0.1065989847715736
2004,14,140020,145,2051,0.07069722086786934
2008,14,140020,202,2292,0.0881326352530541
2012,14,140020,214,1603,0.13349968808484092
2000,14,140023,0,583,0.0
2004,14,140023,65,595,0.1092436974789916
2008,14,140023,237,779,0.3042362002567394
2012,14,140023,148,737,0.20081411126187246
2000,14,140028,213,568,375
2004,14,140028,393,667,0.5892053973013494
2008,14,140028,153,715,0.213986013986014
2012,14,140028,150,821,0.18270401948842874
2000,14,140030,140,1154,0.12131715771230503
2004,14,140030,202,1180,0.1711864406779661
2008,14,140030,187,1467,0.1274710293115201
2012,14,140030,148,1235,0.11983805668016194
